INCOMPLETE  ,  smart  ,  0
INCOMPLETE  ,  fine  ,  0
INCOMPLETE  ,  joke  ,  0
INCOMPLETE  ,  necessary  ,  0
INCOMPLETE  ,  compulsory  ,  0
INCOMPLETE  ,  Super  ,  0
INCOMPLETE  ,  Terrific  ,  11
INCOMPLETE  ,  Excellent  ,  11
INCOMPLETE  ,  Nice  ,  14
INCOMPLETE  ,  Pitiful  ,  12
Invalid  ,  great  ,  17
Invalid  ,  amazing  ,  14
Invalid  ,  love  ,  18
Invalid  ,  cool  ,  18
Invalid  ,  helpful  ,  14
Invalid  ,  disappointed  ,  21
Invalid  ,  useless  ,  14
Invalid  ,  dangerous  ,  12
Invalid  ,  disorganize  ,  22
Invalid  ,  terrible  ,  13
Invalid  ,  irresponsible  ,  20
Invalid  ,  bad  ,  40
Invalid  ,  wrong  ,  17
Invalid  ,  awesome  ,  14
Invalid  ,  impressed  ,  25
Invalid  ,  worse  ,  0
Invalid  ,  brilliant  ,  25
Invalid  ,  smart  ,  17
Invalid  ,  fine  ,  18
Invalid  ,  joke  ,  0
Invalid  ,  necessary  ,  25
Invalid  ,  compulsory  ,  12
Invalid  ,  Super  ,  0
Invalid  ,  Terrific  ,  13
Invalid  ,  Excellent  ,  12
Invalid  ,  Nice  ,  18
Invalid  ,  Pitiful  ,  14
